Domain,Receive Time,Serial #,Type,Threat/Content Type,Config Version,Generate Time,Source address,Destination address,NAT Source IP,NAT Destination IP,Rule,Source User,Destination User,Application,Virtual System,Source Zone,Destination Zone,Inbound Interface,Outbound Interface,Log Action,Time Logged,Session ID,Repeat Count,Source Port,Destination Port,NAT Source Port,NAT Destination Port,Flags,IP Protocol,Action,Bytes,Bytes Sent,Bytes Received,Packets,Start Time,Elapsed Time (sec),Category,tpadding,Sequence Number,Action Flags,Source Country,Destination Country,cpadding,Packets Sent,Packets Received,Session End Reason,DG Hierarchy Level 1,DG Hierarchy Level 2,DG Hierarchy Level 3,DG Hierarchy Level 4,Virtual System Name,Device Name,Action Source,Source VM UUID,Destination VM UUID,Tunnel ID/IMSI,Monitor Tag/IMEI,Parent Session ID,Parent Session Start Time,Tunnel,SCTP Association ID,SCTP Chunks,SCTP Chunks Sent,SCTP Chunks Received
1,2020/5/26 0:00,0009C100418,TRAFFIC,end,2049,2020/5/26 0:00,172.28.53.125,172.22.5.35,,,Trust to Servere - Allow,,,web-browsing,vsys1,Trust,Servere,ethernet1/22.2053,ethernet1/23.2301,KL - Log forwarding profile,2020/5/26 0:00,138097,1,59154,80,0,0,0x1c,tcp,allow,882,381,501,9,2020/5/25 23:59,15,license-expired,0,10013438409,0x8000000000000000,KL-Wireless-ADM,KL-Servere,0,6,3,tcp-fin,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
1,2020/5/26 0:00,0009C100418,TRAFFIC,end,2049,2020/5/26 0:00,172.28.52.73,172.22.5.35,,,Trust to Servere - Allow,,,web-browsing,vsys1,Trust,Servere,ethernet1/22.2053,ethernet1/23.2301,KL - Log forwarding profile,2020/5/26 0:00,220296,1,52099,80,0,0,0x1c,tcp,allow,1073,551,522,11,2020/5/25 23:59,15,license-expired,0,10013438410,0x8000000000000000,KL-Wireless-ADM,KL-Servere,0,7,4,tcp-fin,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
1,2020/5/26 0:00,0009C100418,TRAFFIC,end,2049,2020/5/26 0:00,172.28.53.170,172.22.5.35,,,Trust to Servere - Allow,,,web-browsing,vsys1,Trust,Servere,ethernet1/22.2053,ethernet1/23.2301,KL - Log forwarding profile,2020/5/26 0:00,343226,1,53108,80,0,0,0x1c,tcp,allow,1098,419,679,9,2020/5/25 23:59,15,license-expired,0,10013438411,0x8000000000000000,KL-Wireless-ADM,KL-Servere,0,6,3,tcp-fin,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
1,2020/5/26 0:00,0009C100418,TRAFFIC,end,2049,2020/5/26 0:00,172.24.4.51,13.69.65.29,152.115.60.54,13.69.65.29,Inside to Internet - Allow,,,azure-log-analytics,vsys1,DMZ1,Untrust,ethernet1/23.2202,ethernet1/22.15,KL - Log forwarding profile,2020/5/26 0:00,84989,1,61634,443,61634,443,0x400053,tcp,allow,8523,3300,5223,20,2020/5/25 23:59,15,license-expired,0,10013438412,0x8000000000000000,KL-DMZ1,Netherlands,0,11,9,tcp-fin,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
1,2020/5/26 0:00,0009C100418,TRAFFIC,end,2049,2020/5/26 0:00,172.22.7.100,83.136.89.6,152.115.60.2,83.136.89.6,DNS-NTP to Internet,,,dns,vsys1,Servere,Untrust,ethernet1/23.2301,ethernet1/22.15,KL - Log forwarding profile,2020/5/26 0:00,19951,1,63477,53,27163,53,0x8400019,udp,allow,268,108,160,2,2020/5/25 23:59,30,any,0,10013438413,0x8000000000000000,KL-Servere,Denmark,0,1,1,aged-out,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
1,2020/5/26 0:05,0009C100418,TRAFFIC,end,2049,2020/5/26 0:05,192.168.193.210,216.58.208.118,152.115.60.2,216.58.208.118,TDC-MOBIL_Internetadgang,,,youtube-base,vsys1,Extranet,Untrust,ethernet1/22.62,ethernet1/22.15,KL - Log forwarding profile,2020/5/26 0:05,34227643,1,53520,443,23994,443,0x400053,tcp,allow,112855,6149,106706,155,2020/5/26 0:01,231,license-expired,0,10013493796,0x8000000000000000,Unknown,United States,0,72,83,tcp-fin,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
1,2020/5/26 0:05,0009C100418,TRAFFIC,end,2049,2020/5/26 0:05,192.168.193.210,172.217.17.46,152.115.60.2,172.217.17.46,TDC-MOBIL_Internetadgang,,,youtube-base,vsys1,Extranet,Untrust,ethernet1/22.62,ethernet1/22.15,KL - Log forwarding profile,2020/5/26 0:05,34667168,1,53515,443,38695,443,0x400053,tcp,allow,702587,31164,671423,830,2020/5/26 0:01,232,license-expired,0,10013493805,0x8000000000000000,Unknown,United States,0,328,502,tcp-fin,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
1,2020/5/26 0:05,0009C100418,TRAFFIC,end,2049,2020/5/26 0:05,192.168.193.210,172.217.168.225,152.115.60.2,172.217.168.225,TDC-MOBIL_Internetadgang,,,youtube-base,vsys1,Extranet,Untrust,ethernet1/22.62,ethernet1/22.15,KL - Log forwarding profile,2020/5/26 0:05,34528136,1,53521,443,64052,443,0x400053,tcp,allow,11306,2615,8691,39,2020/5/26 0:01,231,license-expired,0,10013493834,0x8000000000000000,Unknown,United States,0,22,17,tcp-fin,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
1,2020/5/26 0:01,0009C100418,TRAFFIC,drop,2049,2020/5/26 0:01,198.23.236.112,152.115.60.31,,,interzone-default,,,icmp,vsys1,Untrust,Servere,ethernet1/22.15,,,2020/5/26 0:01,0,1,0,0,0,0,0x100000,icmp,drop,90,90,0,1,2020/5/26 0:01,0,any,0,10013454981,0x0,United States,Denmark,0,1,0,policy-deny,68,0,0,0,Produktion,KL-AMA-SRV-FW1A,from-policy,,,0,,0,,N/A,0,0,0,0
